task,model,cv_best_roc_auc,train_ROC_AUC,train_F1,train_Balanced_Accuracy,train_PR_AUC,test_ROC_AUC,test_F1,test_Balanced_Accuracy,test_PR_AUC,best_params,n_features
cls_SI_gt_median,extra_trees,0.732703125,0.943040625,0.8614232209737828,0.8612500000000001,0.9378143613297031,0.711039603960396,0.6333333333333333,0.6711386138613862,0.7213341512656941,"{'model__n_estimators': 800, 'model__min_samples_leaf': 2, 'model__max_features': 'log2', 'model__max_depth': 10}",210
cls_SI_gt_median,random_forest,0.728078125,0.976896875,0.927960927960928,0.92625,0.9747431675698178,0.6913366336633663,0.6236559139784946,0.6513861386138613,0.6968652485048872,"{'model__n_estimators': 800, 'model__min_samples_leaf': 2, 'model__max_features': 'log2', 'model__max_depth': 10}",210
cls_SI_gt_median,hist_gbc,0.715390625,0.9655437499999999,0.905940594059406,0.905,0.9638075941511103,0.6891584158415842,0.6526315789473685,0.6713861386138613,0.7183118155031953,"{'model__min_samples_leaf': 30, 'model__max_leaf_nodes': 15, 'model__max_depth': 7, 'model__learning_rate': np.float64(0.04000000000000001), 'model__l2_regularization': np.float64(1e-06)}",210
cls_SI_gt_median,log_reg,0.6859531249999999,0.844628125,0.7626262626262627,0.765,0.847658368573594,0.652920792079208,0.6161616161616161,0.6218316831683168,0.6602538368625062,{'model__C': np.float64(0.42813323987193913)},210
