task,model,cv_best_score_rmse,train_MAE,train_RMSE,train_R2,test_MAE,test_RMSE,test_R2,best_params,n_features
reg_IC50,extra_trees,291.83673876392226,58.27685533587814,138.35676164759766,0.8358991572110815,215.4086138114628,455.8483531138996,0.3770290041535578,"{'model__regressor__n_estimators': 500, 'model__regressor__min_samples_leaf': 2, 'model__regressor__max_features': 0.5, 'model__regressor__max_depth': 16}",210
reg_IC50,hist_gbr,289.87266473833625,88.34201509431016,185.7671538404577,0.7041661338759491,217.46894876439907,471.4314400461245,0.3337087160275898,"{'model__regressor__min_samples_leaf': 50, 'model__regressor__max_leaf_nodes': 15, 'model__regressor__max_depth': None, 'model__regressor__learning_rate': np.float64(0.12000000000000002), 'model__regressor__l2_regularization': np.float64(1.0)}",210
reg_IC50,random_forest,299.8158147684903,85.2686818087499,183.21862413994654,0.7122275132728555,218.50999138437223,476.52832996291835,0.31922359234682496,"{'model__regressor__n_estimators': 300, 'model__regressor__min_samples_leaf': 1, 'model__regressor__max_features': 0.5, 'model__regressor__max_depth': 16}",210
reg_IC50,elastic_net,321.8918828308996,154.38122898192253,309.886599570177,0.17678054116492314,225.11945268187227,489.5360098797888,0.28155035514397,"{'model__regressor__l1_ratio': np.float64(0.65), 'model__regressor__alpha': np.float64(0.018329807108324356)}",210
