task,model,cv_best_roc_auc,train_ROC_AUC,train_F1,train_Balanced_Accuracy,train_PR_AUC,test_ROC_AUC,test_F1,test_Balanced_Accuracy,test_PR_AUC,best_params,n_features
cls_SI_gt_8,random_forest,0.7378300119230115,0.9609231817407596,0.8487972508591065,0.884789644012945,0.9264550696421107,0.7533914728682171,0.5714285714285714,0.669250645994832,0.6922155116668542,"{'model__n_estimators': 300, 'model__min_samples_leaf': 5, 'model__max_features': 'sqrt', 'model__max_depth': None}",210
cls_SI_gt_8,extra_trees,0.7413728495997275,0.946084142394822,0.8341543513957307,0.8776528700391756,0.9005915125842152,0.75005383290267,0.5714285714285714,0.6637596899224807,0.6768002468794809,"{'model__n_estimators': 800, 'model__min_samples_leaf': 5, 'model__max_features': 'sqrt', 'model__max_depth': 16}",210
cls_SI_gt_8,hist_gbc,0.7401464827116333,0.9805825242718447,0.8964285714285715,0.917049906319196,0.9667220672021639,0.7389104220499569,0.5857142857142857,0.6800710594315245,0.658665182831545,"{'model__min_samples_leaf': 20, 'model__max_leaf_nodes': 63, 'model__max_depth': 3, 'model__learning_rate': np.float64(0.18000000000000002), 'model__l2_regularization': np.float64(0.046415888336127725)}",210
cls_SI_gt_8,log_reg,0.7044455799693409,0.8214171350706863,0.6558441558441559,0.7291432464656787,0.7489177850638958,0.678456072351421,0.5590062111801242,0.6419573643410852,0.5229604369354146,{'model__C': np.float64(0.0379269019073225)},210
