task,model,cv_best_roc_auc,train_ROC_AUC,train_F1,train_Balanced_Accuracy,train_PR_AUC,test_ROC_AUC,test_F1,test_Balanced_Accuracy,test_PR_AUC,best_params,n_features
cls_CC50_gt_median,hist_gbc,0.8371341371698703,0.9738310864442903,0.9129353233830846,0.9125182032387702,0.9754815952547218,0.8428712871287128,0.7075471698113207,0.6918316831683169,0.8551282274522797,"{'model__min_samples_leaf': 30, 'model__max_leaf_nodes': 63, 'model__max_depth': 3, 'model__learning_rate': np.float64(0.12000000000000002), 'model__l2_regularization': np.float64(0.01)}",210
cls_CC50_gt_median,log_reg,0.8235878775003906,0.8842149013431333,0.8140096618357487,0.8075925474534216,0.8800838743811077,0.8306930693069307,0.7397260273972602,0.716881188118812,0.8435001732721388,{'model__C': np.float64(0.02069138081114789)},210
cls_CC50_gt_median,random_forest,0.8420880972612906,0.9692654329089556,0.9111389236545682,0.9112525703285645,0.9724077529113837,0.8303960396039605,0.7102803738317757,0.6918811881188118,0.8419504112937302,"{'model__n_estimators': 800, 'model__min_samples_leaf': 5, 'model__max_features': 'sqrt', 'model__max_depth': 10}",210
cls_CC50_gt_median,extra_trees,0.8501510025980622,0.9468965431033943,0.875,0.8725554534715843,0.9501502863768789,0.8261386138613862,0.7383177570093458,0.7217326732673268,0.8327813751738491,"{'model__n_estimators': 800, 'model__min_samples_leaf': 5, 'model__max_features': 'sqrt', 'model__max_depth': 10}",210
